area_sqft,bedrooms,bathrooms,floors,parking,age_years,city,locality,school_distance_km,hospital_distance_km,metro_distance_km,price
752,4,3,1,3,0,Bengaluru,South,5.1,1.21,3.13,7286779
4259,1,1,1,2,24,Mumbai,East,9.29,3.61,5.07,36118139
3993,3,4,1,2,17,Delhi,Central,8.36,4.7,10.26,26633765
1504,5,5,1,3,15,Mumbai,East,3.24,4.05,5.48,16026480
3006,1,1,1,0,7,Chandigarh,South,9.84,8.28,8.41,12918243
1473,2,1,3,2,20,Chandigarh,West,6.51,0.4,10.92,6452673
3975,5,6,2,3,10,Delhi,Central,3.11,2.72,5.85,27733385
2163,5,4,2,1,7,Bengaluru,North,6.36,5.97,8.15,14169944
3442,1,1,1,3,25,Mumbai,North,5.76,9.01,14.55,29259815
789,2,2,2,1,26,Bengaluru,Central,4.57,3.22,9.19,5026803
2973,3,2,2,1,30,Delhi,North,3.44,2.47,13.36,18886782
3453,4,5,3,2,27,Delhi,Central,3.78,4.81,4.14,25344086
2028,2,3,1,2,5,Pune,West,2.0,8.44,2.0,10636614
2670,5,5,1,2,20,Bengaluru,North,9.35,2.36,12.58,17506458
1335,3,4,2,0,9,Pune,Central,3.6,7.79,4.08,7129492
4172,5,4,1,1,13,Bengaluru,East,9.61,3.48,11.72,26438763
3985,1,1,3,1,9,Chandigarh,North,2.23,3.89,0.32,18576511
1857,2,2,1,3,6,Pune,Central,6.04,8.95,2.75,10946066
4613,3,2,3,2,4,Delhi,Central,0.83,7.39,4.96,30935921
4855,1,1,2,2,12,Delhi,East,10.0,4.01,5.93,31469783
4592,5,4,2,1,1,Chandigarh,East,8.67,7.01,0.32,22172738
1778,3,3,3,0,6,Delhi,North,4.55,6.68,10.39,12398796
3066,1,1,1,3,5,Bengaluru,East,1.13,3.83,10.69,18990978
2542,4,4,2,0,1,Delhi,North,5.61,8.0,5.12,17654913
2521,2,3,3,0,19,Delhi,South,7.36,0.65,8.34,16780248
3085,4,5,3,1,5,Delhi,North,9.44,6.78,10.58,21479722
4311,3,4,2,0,24,Pune,West,4.16,4.06,4.68,21221877
4997,3,4,1,1,6,Chandigarh,East,3.18,4.8,13.13,22872851
1894,1,1,2,1,10,Chandigarh,Central,7.23,1.49,14.12,8062328
4228,4,4,1,2,21,Mumbai,North,8.07,4.12,3.0,38568220
4448,3,3,1,0,13,Pune,West,6.09,5.65,6.19,22138686
1159,3,3,3,2,26,Chandigarh,West,3.0,6.6,9.9,5461964
3382,2,2,1,2,13,Mumbai,West,2.2,7.71,4.57,29402680
2865,4,4,3,2,0,Pune,Central,4.68,4.23,8.41,15423677
631,5,6,2,2,28,Pune,North,2.03,2.14,7.19,4342103
786,5,6,2,1,2,Pune,East,4.35,5.66,13.35,5369131
752,4,3,1,0,27,Bengaluru,East,2.67,1.32,2.29,5783429
2445,2,3,2,0,2,Bengaluru,North,0.42,9.37,13.56,15313659
1719,4,3,3,3,9,Delhi,West,2.79,2.37,10.18,12887772
3586,3,3,2,1,11,Pune,Central,6.5,5.29,10.29,18071648
527,5,5,1,0,15,Pune,South,5.99,9.73,5.55,3420097
2830,3,4,1,1,12,Chandigarh,East,0.35,2.26,7.87,13153560
3029,2,3,1,0,4,Chandigarh,South,8.64,1.81,0.58,14123017
1695,2,2,1,1,8,Bengaluru,Central,8.88,4.92,10.52,10238273
2182,2,1,1,1,22,Chandigarh,West,4.02,0.21,7.11,10522607
2148,2,2,3,2,5,Pune,North,8.13,3.54,5.96,11421115
3202,4,5,1,3,0,Pune,West,4.42,5.9,11.41,17752732
1442,3,3,3,3,29,Pune,Central,1.4,2.06,3.33,7955722
1147,3,4,2,2,17,Pune,East,1.2,1.6,12.96,5666319
3361,5,5,2,1,13,Chandigarh,East,1.18,9.27,8.47,16266908
2225,3,2,2,1,12,Chandigarh,West,4.36,1.53,6.35,10934535
816,5,4,1,2,6,Mumbai,West,3.32,9.93,10.24,9303947
1295,3,3,2,3,1,Delhi,North,2.64,2.5,3.05,9429919
884,3,3,3,2,28,Bengaluru,South,7.79,9.39,2.3,6689021
2892,2,2,3,0,7,Delhi,South,6.01,7.64,3.02,20109046
1245,3,2,3,2,17,Pune,Central,3.51,1.25,10.52,6999959
789,3,4,2,1,23,Bengaluru,South,3.68,2.95,4.08,5920319
3544,3,2,1,2,16,Chandigarh,Central,2.66,2.68,9.51,16100254
1845,4,3,2,3,19,Pune,Central,7.51,9.78,9.0,10492816
1916,2,3,2,0,20,Mumbai,East,4.43,5.37,4.24,16376527
3637,3,3,1,3,30,Chandigarh,North,2.69,2.74,7.43,16559735
919,5,4,3,3,1,Mumbai,West,5.01,0.93,0.71,12050450
3498,4,4,3,0,22,Pune,North,6.94,9.93,6.06,18544882
915,3,2,3,3,11,Chandigarh,West,5.22,2.93,2.59,5341188
1594,5,5,1,3,15,Pune,East,8.26,9.23,11.9,9330330
4394,3,2,1,3,0,Chandigarh,East,2.97,5.19,7.76,20250382
2232,5,5,3,2,7,Bengaluru,West,6.76,8.03,4.01,15365669
4699,5,4,2,1,30,Chandigarh,North,4.14,0.85,7.84,23304257
2349,3,3,3,3,18,Delhi,West,4.77,6.61,1.73,16977719
4868,1,1,2,1,25,Delhi,South,2.68,6.9,10.92,30912088
3991,2,1,3,2,10,Bengaluru,West,1.4,9.64,2.02,25281041
2763,5,4,2,3,2,Delhi,North,9.23,0.56,12.87,19961895
564,3,3,1,2,19,Bengaluru,South,1.26,5.34,11.42,3485251
2194,3,3,1,2,17,Chandigarh,East,6.34,4.27,14.48,9502746
792,4,5,2,1,25,Chandigarh,South,6.57,2.26,10.51,4591298
1331,1,1,2,0,26,Mumbai,East,2.58,9.5,5.49,10451486
773,5,6,2,2,19,Pune,North,9.01,9.98,11.35,5130278
2120,1,1,3,2,0,Delhi,East,7.88,9.75,8.85,13741035
659,1,1,3,2,5,Mumbai,Central,7.67,5.3,3.22,7123518
4828,3,3,2,1,14,Chandigarh,Central,3.46,0.29,3.16,22679040
2365,3,2,3,1,22,Bengaluru,East,3.92,0.29,4.4,15099962
4994,4,3,3,2,3,Pune,North,9.17,5.08,6.1,26133670
3379,2,3,3,2,17,Bengaluru,Central,4.97,7.95,13.76,21082571
2412,4,5,2,0,12,Mumbai,East,9.14,2.69,11.63,20989247
3997,1,2,2,2,6,Chandigarh,Central,9.53,4.54,10.42,17415833
2246,3,3,2,0,9,Bengaluru,Central,6.64,0.35,1.15,14775673
1684,2,3,1,0,18,Bengaluru,South,8.9,2.6,8.7,9728148
1825,2,2,1,0,24,Mumbai,South,4.43,5.61,12.53,15476723
572,3,4,1,1,19,Mumbai,West,6.42,6.79,10.26,5205855
532,5,5,3,0,29,Chandigarh,West,6.64,1.64,12.65,2503808
1901,2,1,3,3,6,Delhi,West,7.6,8.83,14.47,13407283
2387,5,6,2,2,20,Bengaluru,North,0.2,8.09,5.09,15989800
2172,3,4,2,3,29,Pune,South,2.03,8.05,14.59,10899356
3472,5,4,1,1,0,Chandigarh,North,0.6,8.13,8.37,16907991
4698,4,4,3,2,11,Bengaluru,North,7.08,9.71,6.64,28941422
2805,4,4,3,3,5,Pune,South,0.35,3.04,9.69,14866196
4230,5,6,1,3,23,Mumbai,West,5.51,2.97,4.99,38644878
793,2,1,3,2,15,Mumbai,East,4.64,5.25,2.17,7824599
3991,2,1,1,2,4,Delhi,West,5.04,7.61,7.91,26263620
2133,2,1,2,1,15,Delhi,East,1.68,2.73,2.46,14132379
2006,4,4,2,1,4,Pune,Central,4.8,5.21,9.62,10583755
973,1,2,3,0,18,Mumbai,North,4.21,1.86,11.4,7851113
2482,1,2,3,2,1,Bengaluru,South,8.64,0.35,1.79,15734952
2869,3,2,3,0,9,Pune,West,3.62,1.49,2.07,15004033
919,3,2,2,2,15,Chandigarh,West,3.33,5.95,1.34,4951058
4123,1,1,2,1,6,Mumbai,East,4.45,4.7,14.55,34417937
2400,4,3,3,2,16,Mumbai,East,5.06,4.72,10.68,22302325
3415,1,1,1,0,23,Delhi,North,4.79,8.91,11.55,21017175
3058,2,2,2,3,26,Pune,North,8.67,9.27,0.55,16313439
3682,3,3,2,2,18,Delhi,South,6.36,8.61,8.35,24680702
560,4,5,1,2,2,Mumbai,West,6.52,8.77,9.06,7709136
3465,3,2,1,2,26,Pune,South,3.29,3.63,11.48,18293036
1437,4,4,3,3,21,Delhi,South,1.92,8.1,13.35,10483834
3767,2,1,3,1,6,Chandigarh,West,5.23,4.37,13.38,17665328
3468,5,6,3,3,11,Bengaluru,East,3.12,9.51,2.44,23271854
739,3,3,1,3,18,Bengaluru,Central,2.25,9.5,1.1,5514098
2726,1,1,1,3,21,Bengaluru,North,7.75,8.25,10.54,16271320
3501,1,1,3,2,0,Delhi,South,1.57,5.79,11.12,23920758
1664,1,2,3,2,21,Delhi,East,2.51,3.87,2.9,11938477
1837,5,6,3,1,24,Pune,Central,1.02,1.98,7.24,10655722
3488,3,3,2,2,0,Mumbai,Central,6.85,8.22,8.54,32358823
4935,3,3,2,3,12,Chandigarh,North,1.65,0.42,9.5,23148785
1745,1,1,2,2,30,Delhi,West,5.48,6.7,11.16,11232772
2998,1,1,2,2,13,Mumbai,West,2.07,9.83,12.15,25124308
2475,1,1,2,1,3,Pune,West,2.03,3.77,2.11,11899686
2795,1,2,1,1,11,Delhi,Central,4.55,0.42,0.8,18380720
932,4,4,2,2,24,Chandigarh,West,2.73,7.62,11.67,5226074
595,3,2,3,1,29,Chandigarh,East,3.49,1.14,11.82,2779716
1048,1,1,1,2,22,Pune,North,5.6,2.23,5.24,5599499
2748,1,1,1,2,21,Pune,West,7.8,8.13,8.65,13669929
2287,4,3,1,2,11,Mumbai,South,9.28,0.51,11.65,20960230
1854,5,6,2,3,24,Delhi,South,0.97,6.86,6.23,14151630
4338,4,3,1,2,20,Delhi,North,6.21,6.36,11.06,29599605
3706,1,1,2,2,12,Delhi,East,5.03,6.41,2.91,24542028
4447,4,3,3,1,11,Delhi,South,2.01,5.02,5.21,29529095
1729,1,1,3,3,18,Pune,East,4.53,6.62,5.24,8570710
934,5,6,2,1,28,Bengaluru,East,2.88,9.86,12.41,6772923
2612,3,4,3,2,11,Mumbai,North,3.84,2.11,1.89,23634975
1084,5,5,3,3,20,Delhi,Central,8.55,6.33,13.85,8630086
1977,4,4,3,1,12,Pune,East,9.17,9.74,4.08,11259472
1363,5,4,2,3,17,Chandigarh,East,0.67,6.79,14.8,7491078
3099,5,5,2,3,1,Delhi,Central,0.9,7.21,5.98,23149887
1926,4,5,2,3,20,Mumbai,South,0.69,5.34,0.69,19622881
4090,3,2,3,2,8,Pune,West,8.46,1.97,1.13,21692050
2215,2,2,1,2,2,Pune,West,9.12,9.4,0.39,11651456
543,1,1,1,1,19,Chandigarh,West,4.12,3.74,12.43,2590317
1150,5,4,3,0,15,Mumbai,South,6.48,7.77,9.64,11131663
1297,1,1,1,2,29,Bengaluru,North,2.93,4.83,12.73,7394529
1219,3,2,2,2,5,Bengaluru,Central,1.9,5.74,13.7,8207607
2813,2,2,2,1,15,Delhi,West,1.33,4.14,6.98,18782604
3563,2,3,3,1,8,Bengaluru,North,3.6,2.03,5.35,21430909
1377,4,3,2,2,27,Mumbai,Central,4.45,1.6,2.69,14223463
2821,5,5,2,1,10,Mumbai,Central,6.47,9.91,13.21,26122988
2348,5,5,2,0,3,Bengaluru,North,6.01,9.33,13.17,15344320
1110,4,4,3,0,0,Chandigarh,West,4.09,9.91,2.51,6145325
2514,1,2,3,3,15,Bengaluru,East,1.98,9.65,8.77,15111825
2915,2,2,3,1,11,Delhi,West,7.04,5.45,13.3,18697820
3249,5,4,3,3,28,Chandigarh,Central,3.82,8.91,7.07,15306085
689,1,1,3,3,20,Bengaluru,South,1.37,8.82,11.73,4268240
2217,4,3,3,2,17,Delhi,North,3.28,2.6,11.33,15226997
4840,2,3,2,2,15,Bengaluru,North,8.85,9.51,10.8,30476083
3331,1,1,3,3,7,Pune,North,7.29,0.49,0.54,17278301
2866,4,5,2,0,0,Pune,North,9.87,2.87,7.45,14968078
1347,4,4,3,2,1,Chandigarh,East,5.09,8.78,1.81,7502048
948,2,2,1,1,14,Bengaluru,Central,7.7,4.17,13.11,5495476
3316,3,3,2,1,6,Pune,East,3.2,0.68,10.2,17310856
3499,2,3,3,1,18,Delhi,East,4.04,8.47,12.14,22014847
2903,2,2,2,3,9,Chandigarh,West,5.93,3.82,5.42,14164918
4788,1,1,1,2,25,Pune,North,8.12,9.67,9.61,23746423
2749,2,2,1,3,16,Bengaluru,Central,8.97,2.06,5.28,18040235
1571,2,2,1,0,7,Bengaluru,West,8.55,5.88,7.9,9982794
4193,5,6,2,1,5,Mumbai,West,3.7,8.93,8.99,37902719
631,4,5,3,0,29,Chandigarh,North,5.6,1.23,14.87,2718980
4164,4,5,3,3,5,Pune,East,1.58,8.3,11.47,21882986
4440,5,6,1,0,29,Bengaluru,East,0.37,4.17,13.91,27214590
3555,5,5,2,3,6,Delhi,East,5.47,9.45,6.27,24679997
2529,1,1,1,3,1,Pune,West,0.37,4.9,12.91,12933460
3606,2,1,2,0,9,Pune,North,5.33,5.46,4.77,18904474
764,5,6,3,1,10,Pune,North,5.5,2.41,14.62,5430990
2578,1,1,2,2,0,Chandigarh,North,7.84,5.75,3.6,11964070
4477,5,4,2,3,23,Chandigarh,South,2.7,4.96,7.62,21846317
4762,4,4,3,3,27,Mumbai,South,5.08,8.28,12.28,41271471
4521,1,1,2,3,23,Delhi,Central,6.99,6.38,12.1,29663931
618,4,3,2,1,10,Chandigarh,South,9.32,7.42,8.55,2391267
3062,1,2,1,1,0,Mumbai,West,7.91,3.77,14.83,24870847
2270,1,2,2,0,8,Pune,West,8.95,5.12,9.76,11876909
4440,1,2,1,2,7,Delhi,East,5.84,1.41,10.42,28487500
4614,4,5,1,0,25,Chandigarh,Central,3.97,7.44,11.66,22100351
4103,4,5,2,1,11,Delhi,Central,0.54,8.22,3.16,27938056
4075,2,3,2,3,6,Pune,North,0.94,9.48,13.82,22036884
833,5,4,3,1,15,Chandigarh,Central,3.45,4.08,8.88,4920863
559,5,5,1,2,22,Mumbai,South,7.21,8.13,6.9,7696862
1207,5,5,2,2,6,Bengaluru,North,7.45,6.13,6.0,9635406
4807,5,4,1,3,23,Delhi,Central,5.97,5.85,1.17,33569662
4407,5,4,2,1,21,Bengaluru,East,2.45,2.65,8.13,28447591
4161,2,2,1,2,29,Bengaluru,South,9.14,8.37,10.38,25050842
899,4,5,3,2,0,Chandigarh,West,9.59,7.3,13.28,5169478
4152,2,3,1,3,3,Mumbai,Central,0.58,4.45,10.17,36870350
2035,5,5,3,0,30,Delhi,Central,8.39,6.16,5.95,15448610
4764,5,4,2,2,2,Chandigarh,Central,3.46,4.23,9.12,23070995
610,1,1,2,1,27,Bengaluru,South,5.68,5.54,3.24,4014283
1162,5,5,3,1,10,Delhi,South,5.55,8.45,2.72,10345986
4346,1,1,1,2,7,Chandigarh,West,5.58,2.14,8.29,19142213
3552,5,5,3,2,13,Delhi,Central,5.56,2.71,10.13,24918416
948,5,4,1,2,18,Pune,West,9.91,2.8,1.12,6843952
1564,5,6,1,1,17,Chandigarh,East,1.22,5.52,4.85,8986389
4279,2,3,1,0,4,Delhi,Central,9.49,0.6,13.8,28468602
763,1,2,1,0,10,Bengaluru,East,9.74,3.16,10.46,4409086
4912,3,3,3,0,24,Mumbai,Central,1.6,4.56,5.46,43059719
751,5,6,2,2,3,Delhi,North,1.89,0.51,6.88,7339881
3770,2,1,2,0,5,Chandigarh,South,1.69,1.1,3.75,17575849
2720,1,1,1,0,0,Bengaluru,North,9.46,9.34,3.54,16275801
2017,2,2,3,3,1,Pune,South,3.56,0.95,6.02,10834044
1991,4,4,2,3,15,Bengaluru,East,1.43,4.58,8.63,14543779
2565,3,3,2,1,29,Mumbai,South,4.99,1.54,14.05,22115449
3958,5,5,3,3,16,Delhi,South,1.64,7.7,11.21,27553416
1375,2,2,1,3,21,Mumbai,South,6.77,8.97,1.05,13704146
4279,2,2,2,3,30,Pune,South,2.88,6.48,7.13,22664361
2650,1,2,1,3,13,Bengaluru,South,9.13,0.48,11.61,15439778
3029,5,6,1,1,24,Bengaluru,South,1.0,6.95,3.56,19501672
2559,2,2,3,0,5,Bengaluru,Central,6.05,6.54,5.73,15815412
3444,1,1,3,0,20,Pune,South,3.47,4.53,8.03,17667027
1600,2,1,2,2,12,Chandigarh,South,7.56,3.9,13.06,6596069
3026,4,5,3,3,6,Chandigarh,North,9.28,1.03,4.21,14569631
1400,4,3,1,3,18,Pune,Central,5.31,2.92,3.31,8906514
886,5,5,2,2,21,Pune,North,8.27,7.89,13.4,6109475
1227,5,6,2,3,21,Mumbai,West,5.31,4.45,3.04,12360371
3132,5,6,3,0,24,Bengaluru,South,1.37,9.36,4.52,20194332
740,5,5,1,1,15,Mumbai,Central,8.63,1.16,3.76,9628812
2609,1,2,1,2,25,Chandigarh,South,0.26,0.67,2.38,11682238
2249,5,6,3,2,10,Bengaluru,South,6.27,9.19,7.06,15540052
4928,1,1,3,3,4,Bengaluru,East,8.95,4.28,11.81,29310243
2324,5,4,2,3,16,Delhi,Central,3.75,1.69,5.03,16677585
1104,5,5,2,1,26,Chandigarh,Central,3.75,9.37,8.57,6442202
1367,5,5,1,1,15,Bengaluru,East,6.44,3.12,2.9,9573174
4870,2,3,2,2,10,Pune,East,7.57,3.88,7.39,25176107
1573,4,5,1,1,20,Delhi,Central,9.37,8.51,13.82,11920712
2480,1,1,2,3,22,Chandigarh,East,9.75,3.57,9.79,9916410
2985,4,3,3,1,30,Pune,West,2.57,6.98,1.16,15967044
1998,1,1,1,0,4,Bengaluru,East,6.61,0.95,9.13,11977425
547,2,2,1,0,15,Mumbai,North,2.08,5.47,4.33,5634395
3220,3,2,3,0,3,Bengaluru,West,3.82,2.29,13.3,19445472
633,4,5,2,0,11,Chandigarh,Central,9.77,4.98,1.05,4108884
2553,2,2,1,2,15,Bengaluru,Central,2.83,4.8,1.33,16530878
3739,2,2,3,2,3,Pune,East,0.23,7.25,12.54,19725971
3494,3,3,3,0,9,Bengaluru,East,4.99,6.51,13.79,20350571
4497,1,2,3,1,24,Chandigarh,West,3.33,8.89,0.93,20182710
3809,3,2,1,2,17,Delhi,South,7.95,2.95,12.59,26004296
4483,1,1,2,2,4,Chandigarh,East,9.27,2.33,10.46,20481919
4338,1,2,2,2,16,Bengaluru,South,2.47,2.67,7.11,26165902
984,5,4,1,3,28,Bengaluru,North,3.05,8.12,13.82,6384717
595,1,1,3,1,26,Delhi,South,6.3,1.7,12.7,2566237
4925,4,3,2,2,14,Pune,West,2.99,3.31,4.79,26189180
3592,3,4,3,2,3,Bengaluru,South,4.12,1.48,5.38,23758622
4825,3,2,2,1,12,Mumbai,West,1.1,6.27,2.62,42788921
997,1,1,3,1,22,Delhi,East,0.86,8.7,6.0,5944018
1774,4,5,1,1,19,Delhi,Central,7.02,5.89,10.46,12756214
2877,4,4,3,3,23,Chandigarh,North,2.53,9.89,7.61,13987968
3994,2,1,1,2,9,Delhi,South,9.21,7.09,11.58,26784045
1452,5,5,3,2,17,Bengaluru,South,6.19,9.12,11.91,10235281
1789,2,2,3,1,21,Mumbai,North,2.0,8.85,5.28,16447549
3071,2,1,2,0,22,Chandigarh,East,7.28,7.28,12.26,13076947
1660,4,4,3,3,18,Chandigarh,West,5.5,7.11,5.49,9073791
4448,5,6,1,0,12,Pune,East,8.59,9.61,10.39,24169460
3638,2,1,1,3,17,Pune,North,2.47,5.67,11.84,19174700
2660,4,4,1,2,3,Mumbai,West,3.04,9.92,12.28,24008493
1121,3,2,1,3,17,Pune,West,7.16,5.37,7.82,6649257
2072,3,3,2,3,3,Pune,West,5.56,9.22,14.88,10874453
1569,5,5,2,3,27,Delhi,Central,6.72,3.84,14.18,12266899
4781,5,4,3,2,0,Mumbai,East,4.39,7.79,7.16,44349745
3754,4,3,1,3,5,Pune,North,5.05,2.03,13.95,19537058
2956,3,3,1,1,22,Chandigarh,Central,5.79,8.81,3.1,14098547
3733,1,2,1,3,13,Chandigarh,East,5.1,2.67,13.68,17546057
2880,4,3,1,1,23,Mumbai,Central,0.94,0.32,9.21,25259174
1909,3,3,1,2,12,Pune,East,6.23,4.37,2.08,10998174
2037,2,2,3,1,18,Delhi,North,6.02,8.05,4.12,12870997
2347,2,3,1,0,26,Bengaluru,West,5.62,5.72,11.09,13333309
3108,4,5,3,0,6,Pune,South,10.0,4.47,6.54,16038006
2429,2,3,1,2,4,Pune,West,4.86,7.24,5.19,12890129
3511,1,1,1,2,4,Mumbai,East,2.1,8.64,3.95,31739680
4441,3,3,1,2,22,Delhi,North,4.71,4.41,13.48,28872255
4300,2,2,3,0,11,Bengaluru,West,4.13,0.57,11.58,25383102
2330,3,3,2,2,8,Delhi,Central,4.07,9.83,3.82,15899046
1014,2,1,3,1,15,Pune,Central,0.52,6.27,1.02,5209286
2342,4,5,1,1,29,Mumbai,West,8.23,9.13,12.23,21231419
765,5,6,3,2,10,Chandigarh,East,7.65,7.66,11.88,3954461
4331,1,2,2,0,16,Chandigarh,North,6.89,5.4,1.43,19583748
1387,1,1,3,2,1,Mumbai,South,0.91,9.4,6.99,11438542
3717,3,2,2,2,21,Delhi,North,5.97,5.59,1.36,25130026
2197,3,3,2,1,18,Chandigarh,West,7.72,0.9,13.85,10799340
1116,4,3,3,2,13,Chandigarh,East,2.33,7.64,11.81,5866441
1125,5,5,1,1,30,Pune,West,9.5,3.62,2.86,7373707
3281,4,5,3,1,30,Chandigarh,North,7.84,6.48,1.1,16392040
4987,3,4,2,0,2,Mumbai,East,9.86,6.62,6.92,43688213
4163,1,1,2,3,16,Bengaluru,West,0.83,1.54,2.88,26115861
3187,4,4,3,1,14,Delhi,West,0.67,7.24,13.68,22506308
1724,3,3,3,1,13,Bengaluru,South,9.97,1.17,10.3,10719400
4930,4,3,3,2,23,Bengaluru,West,3.54,2.71,13.21,29795547
757,1,1,3,0,28,Pune,West,2.26,3.79,13.23,2066923
2441,3,3,3,1,22,Mumbai,South,1.58,8.25,13.31,21139990
1634,4,3,1,1,30,Bengaluru,Central,7.19,9.37,1.16,11268848
3146,5,6,2,3,3,Chandigarh,West,7.65,1.98,2.71,16380303
1853,4,3,1,3,6,Bengaluru,East,8.06,5.74,13.54,12974491
1190,4,4,1,0,30,Pune,Central,6.12,3.52,4.62,6715379
2422,3,3,1,0,27,Bengaluru,East,4.55,1.93,10.0,14344768
1035,5,5,3,0,9,Chandigarh,Central,4.04,4.5,12.0,5265792
4196,4,4,2,2,4,Pune,North,8.77,3.55,5.02,22595304
1806,2,2,2,3,8,Pune,North,6.36,8.88,12.0,9377812
1370,4,3,3,3,28,Pune,West,3.62,5.04,6.37,7978113
602,3,3,2,2,4,Mumbai,South,7.44,7.43,6.53,6928637
2735,1,2,2,1,17,Delhi,West,2.8,2.37,3.1,17670768
1812,2,3,1,3,3,Pune,South,1.23,8.4,6.24,9723461
1034,5,4,2,3,4,Chandigarh,Central,9.3,2.53,6.47,6498883
718,5,6,2,1,2,Bengaluru,North,1.52,2.71,14.61,5959545
3911,1,1,2,2,27,Delhi,East,4.47,2.88,8.92,24835125
2585,2,2,2,1,27,Delhi,South,9.23,0.69,2.76,16836930
3967,5,6,1,3,24,Bengaluru,South,9.47,1.02,3.33,26078251
4981,2,2,2,0,20,Bengaluru,Central,4.54,7.73,4.12,30335221
4341,3,4,2,1,15,Mumbai,West,0.25,9.35,7.77,38414880
1688,4,4,2,1,16,Chandigarh,South,6.64,8.73,13.41,8500718
3748,5,4,3,1,30,Bengaluru,East,2.36,7.21,7.92,23475367
3912,2,2,2,3,9,Pune,North,1.25,6.39,8.61,20218705
1772,5,6,3,3,16,Delhi,West,9.61,2.41,10.94,12835116
4786,2,3,3,2,21,Pune,South,3.38,8.6,9.2,24229226
2221,5,5,2,0,24,Pune,Central,9.88,7.96,14.9,11874295
4627,2,2,1,2,17,Pune,East,6.67,6.59,2.62,24019383
3683,5,5,2,2,15,Chandigarh,South,8.68,4.29,11.3,16782190
4474,2,2,2,3,6,Chandigarh,North,1.27,8.98,0.72,21557889
4684,3,4,3,2,19,Mumbai,South,7.34,9.96,12.0,41057310
3572,3,2,1,3,24,Bengaluru,East,9.88,3.74,12.34,21953734
1044,2,2,2,1,28,Mumbai,West,5.68,6.36,14.04,8672541
4290,3,3,2,2,11,Bengaluru,East,3.64,5.62,9.7,25974742
1420,3,2,2,3,8,Mumbai,South,1.43,1.61,13.38,13436748
889,5,5,2,2,30,Bengaluru,Central,8.72,5.51,5.04,6491531
838,1,1,3,2,29,Pune,Central,4.82,8.56,9.75,3850100
2532,1,1,1,2,29,Chandigarh,South,4.83,8.03,0.89,11163996
3963,3,3,3,2,3,Delhi,South,6.62,4.78,7.15,27492769
3012,1,1,1,2,5,Bengaluru,North,9.08,2.42,10.65,18061077
2823,1,1,1,0,25,Bengaluru,Central,4.53,7.51,13.97,15923009
2260,3,2,2,0,20,Pune,East,8.96,9.65,7.28,11012309
3353,2,2,1,0,10,Mumbai,South,8.9,9.76,8.46,27922506
4599,3,4,3,0,5,Mumbai,North,4.44,7.82,8.4,40532792
1591,4,5,3,1,9,Chandigarh,South,8.25,6.44,3.59,9073207
883,5,4,1,3,0,Mumbai,East,2.33,8.27,8.81,10742453
727,4,4,1,0,11,Bengaluru,East,8.59,9.11,6.85,5253094
3830,2,2,3,0,9,Bengaluru,North,5.68,0.65,13.99,22668246
1244,4,4,3,0,20,Mumbai,West,5.49,1.66,5.36,12669449
1333,4,3,3,1,7,Pune,Central,9.38,3.04,10.4,7870465
4572,1,1,1,1,7,Chandigarh,South,8.93,1.28,0.78,20427865
2073,1,2,1,0,23,Mumbai,Central,3.72,3.38,7.85,16982167
4033,2,2,3,1,27,Delhi,North,9.39,7.93,14.47,25001500
700,4,5,2,1,3,Mumbai,West,4.63,7.4,7.62,8700255
4354,1,1,1,0,4,Mumbai,West,5.52,4.51,5.97,37650093
3250,2,3,2,0,9,Chandigarh,South,7.38,3.74,10.46,15259915
2426,1,1,3,0,18,Chandigarh,West,3.28,6.41,10.39,11023971
3373,3,3,1,2,7,Bengaluru,South,8.78,8.29,5.33,22376151
4307,1,2,1,2,5,Mumbai,West,7.48,1.01,7.95,37021154
2651,4,5,1,2,4,Bengaluru,East,5.95,6.4,12.09,17865115
1773,2,3,3,0,5,Chandigarh,Central,3.34,2.12,12.23,7820158
4215,2,1,3,3,10,Mumbai,North,6.8,3.27,10.58,37053163
3184,4,5,3,0,11,Delhi,East,8.85,2.38,1.87,22065377
1068,4,4,3,0,15,Chandigarh,Central,2.1,5.12,6.56,6612097
4594,3,3,1,2,3,Chandigarh,East,3.02,9.83,5.73,21574592
1521,5,5,1,1,26,Delhi,East,6.44,7.52,13.93,11828539
924,4,4,1,3,23,Pune,West,1.84,0.31,9.39,4904376
709,1,2,2,0,19,Delhi,Central,1.94,0.33,6.38,3796075
1188,5,6,1,3,23,Mumbai,Central,3.25,9.18,6.22,12713758
4708,4,3,3,1,13,Delhi,Central,9.47,3.9,13.11,31550277
1063,1,1,3,1,0,Mumbai,South,4.32,1.07,3.19,9667194
3192,2,1,3,1,25,Chandigarh,South,6.08,5.36,7.84,13809829
4775,2,3,3,0,9,Chandigarh,East,0.37,2.66,4.78,21262601
4104,4,4,2,0,3,Bengaluru,South,4.22,3.98,10.57,26040420
2791,4,5,3,2,18,Chandigarh,North,2.54,2.15,7.54,13458509
4096,2,2,2,2,12,Chandigarh,East,5.73,4.14,14.51,18885833
3598,4,3,3,2,30,Mumbai,North,2.73,2.6,10.78,32868386
3510,1,2,1,2,0,Chandigarh,North,6.05,3.05,10.79,16055214
1276,5,4,1,2,9,Chandigarh,Central,7.02,7.1,10.3,6418459
701,2,1,1,3,27,Bengaluru,South,9.39,8.3,12.89,3501614
